name,category,container,instructions,image,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15
Van Vleet,Ordinary Drink,Old-fashioned glass,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",https://www.thecocktaildb.com/images/media/drink/fgq2bl1492975771.jpg,Light rum,Maple syrup,Lemon juice,,,,,,,,,,,,,3 oz ,1 oz ,1 oz ,,,,,,,,,,,,
Just a Moonmint,Shake,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",https://www.thecocktaildb.com/images/media/drink/znald61487604035.jpg,Milk,Chocolate syrup,Mint syrup,,,,,,,,,,,,,2 cups ,,,,,,,,,,,,,,
Blue Lagoon,Ordinary Drink,Highball glass,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/5wm4zo1582579154.jpg,Vodka,Blue Curacao,Lemonade,Cherry,,,,,,,,,,,,1 oz ,1 oz ,,,,,,,,,,,,,
Tipperary,Cocktail,Nick and Nora Glass,"Stir over ice. Strain into chilled glass. Cut a wide swath of orange peel, and express the orange oils over the drink. Discard orange twist.",https://www.thecocktaildb.com/images/media/drink/b522ek1521761610.jpg,Irish Whiskey,Sweet Vermouth,Green Chartreuse,,,,,,,,,,,,,2 oz,1 oz,1/2 oz,,,,,,,,,,,,
Gin Toddy,Ordinary Drink,Old-fashioned glass,"Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.",https://www.thecocktaildb.com/images/media/drink/jxstwf1582582101.jpg,Gin,Water,Powdered sugar,Lemon peel,,,,,,,,,,,,2 oz ,2 tsp ,1/2 tsp ,1 twist of ,,,,,,,,,,,
Absolutely Fabulous,Cocktail,Champagne flute,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,https://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg,Vodka,Cranberry Juice,Champagne,,,,,,,,,,,,,1 shot ,2 shots ,Top up with,,,,,,,,,,,,
Brave Bull Shooter,Shot,Shot glass,Pour Tabasco into bottom of shot glass and fill with tequila.,https://www.thecocktaildb.com/images/media/drink/yrtypx1473344625.jpg,Tequila,Tabasco sauce,,,,,,,,,,,,,,1/2 oz ,1/2 oz ,,,,,,,,,,,,,
Aperol Spritz,Cocktail,Wine Glass,"Put a couple of cubes of ice into 2 glasses and add a 50 ml measure of Aperol to each. Divide the prosecco between the glasses and then top up with soda, if you like.",https://www.thecocktaildb.com/images/media/drink/iloasq1587661955.jpg,Aperol,Prosecco,Soda Water,,,,,,,,,,,,,100 ml,150 ml,Top,,,,,,,,,,,,
Downshift,Punch / Party Drink,Hurricane glass,"Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional.",https://www.thecocktaildb.com/images/media/drink/y36z8c1503563911.jpg,Fruit punch,Sprite,Tequila,151 proof rum,,,,,,,,,,,,2 part ,1 part ,2 shots ,Float Bacardi ,,,,,,,,,,,
Banana Daiquiri,Ordinary Drink,Champagne flute,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/k1xatq1504389300.jpg,Light rum,Triple sec,Banana,Lime juice,Sugar,Cherry,,,,,,,,,,1 1/2 oz ,1 tblsp ,1 ,1 1/2 oz ,1 tsp ,1 ,,,,,,,,,
Royal Gin Fizz,Ordinary Drink,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/pe1x1c1504735672.jpg,Gin,Lemon,Powdered sugar,Egg,Carbonated water,,,,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ,1 whole ,,,,,,,,,,,
3-Mile Long Island Iced Tea,Ordinary Drink,Collins Glass,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,https://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,,,,1/2 oz,1/2 oz,1/2 oz,1/2 oz,1/2 oz,1/2 oz,1-2 dash ,1 wedge ,Garnish with,,,,,,
